ID	adj.P.Val	P.Value	t	B	logFC	Symbol
ILMN_2343273	1.57e-01	2.69e-02	2.292137	-3.863518	0.909225	FAM70B
ILMN_2316278	1.57e-01	2.69e-02	2.292056	-3.86368	0.565625	MAGED4B
ILMN_2197519	1.57e-01	2.70e-02	-2.291582	-3.864633	-1.0154125	ZNF627
ILMN_3165686	1.57e-01	2.70e-02	2.291504	-3.864791	0.6787708	ERCC-00079
ILMN_1796627	1.57e-01	2.70e-02	2.291438	-3.864924	1.1217083	PKIG
ILMN_1812445	1.57e-01	2.70e-02	2.291424	-3.864951	0.9857625	PRPSAP2
ILMN_2099745	1.57e-01	2.70e-02	2.291152	-3.865499	0.6279167	TP53AIP1
ILMN_1681634	1.57e-01	2.70e-02	-2.291133	-3.865538	-1.1195125	PXMP2
ILMN_1697989	1.57e-01	2.70e-02	2.291131	-3.865542	1.0464917	SNORD101
ILMN_1699989	1.57e-01	2.70e-02	-2.290851	-3.866103	-0.7859542	BNIPL
ILMN_1793743	1.57e-01	2.70e-02	-2.290553	-3.866704	-0.992375	DIRC2
ILMN_1690125	1.57e-01	2.71e-02	2.290001	-3.867814	1.1860792	PDLIM7
ILMN_1807710	1.57e-01	2.71e-02	-2.289875	-3.868066	-0.8863167	HINT1
ILMN_1776852	1.57e-01	2.71e-02	2.289836	-3.868146	0.6536958	TUSC5
ILMN_1738536	1.58e-01	2.71e-02	2.289418	-3.868985	1.1286958	ZMAT1
ILMN_1724671	1.58e-01	2.71e-02	2.289412	-3.868998	0.9002542	MAP6
ILMN_1788251	1.58e-01	2.71e-02	2.289229	-3.869364	0.6252583	SNN
ILMN_1733050	1.58e-01	2.71e-02	2.289165	-3.869493	0.8122667	SEC31B
ILMN_1661519	1.58e-01	2.71e-02	2.288932	-3.869963	0.9142083	KIAA0408
ILMN_1727996	1.58e-01	2.71e-02	2.288918	-3.86999	0.5726875	BAG4
ILMN_1745623	1.58e-01	2.72e-02	-2.288738	-3.870352	-1.0105875	EFCAB4A
ILMN_1681651	1.58e-01	2.72e-02	2.288588	-3.870653	0.7102917	FOLH1
ILMN_1693896	1.58e-01	2.72e-02	2.288393	-3.871045	1.1592417	ATP8A2
ILMN_1730765	1.58e-01	2.72e-02	2.288317	-3.871197	0.6271708	DUSP22
ILMN_1707717	1.58e-01	2.72e-02	2.28812	-3.871594	0.8425208	BAALC
ILMN_2135984	1.58e-01	2.72e-02	-2.288075	-3.871683	-1.02955	MASTL
ILMN_1792432	1.58e-01	2.72e-02	2.28805	-3.871733	0.7567625	KIAA1920
ILMN_1788629	1.58e-01	2.72e-02	2.287855	-3.872125	0.7989	CCDC46
ILMN_2357155	1.58e-01	2.72e-02	2.287843	-3.872149	0.6828917	TPO
ILMN_1771987	1.58e-01	2.72e-02	2.287475	-3.87289	0.6689292	SLC44A2
ILMN_1712112	1.58e-01	2.72e-02	2.287195	-3.873451	1.0008792	RCAN1
ILMN_1792173	1.58e-01	2.73e-02	-2.287107	-3.873627	-0.8555042	TUBGCP4
ILMN_1800942	1.58e-01	2.73e-02	-2.287042	-3.873759	-0.82205	KCTD6
ILMN_1665994	1.58e-01	2.73e-02	2.28681	-3.874225	1.3500208	SILV
ILMN_1743319	1.58e-01	2.73e-02	2.286803	-3.874239	0.9399292	PAFAH1B2
ILMN_1682799	1.58e-01	2.73e-02	-2.28662	-3.874606	-1.0314833	STAMBPL1
ILMN_1739236	1.58e-01	2.73e-02	-2.286564	-3.874719	-0.82875	ZNF668
ILMN_2117613	1.58e-01	2.73e-02	-2.286331	-3.875187	-1.0247167	PDE4C
ILMN_1688154	1.58e-01	2.73e-02	-2.286086	-3.875677	-1.2621	MST1R
ILMN_2187746	1.58e-01	2.73e-02	2.285784	-3.876284	0.8689167	EMX2
ILMN_1811114	1.58e-01	2.73e-02	-2.285634	-3.876585	-0.98725	SDS
ILMN_2389582	1.58e-01	2.74e-02	2.285415	-3.877026	1.1747208	HNRNPL
ILMN_2119224	1.58e-01	2.74e-02	-2.285037	-3.877784	-0.9714875	KIFAP3
ILMN_2225144	1.58e-01	2.74e-02	-2.284806	-3.878247	-1.0659917	EIF4E3
ILMN_1698803	1.58e-01	2.74e-02	2.284536	-3.878789	1.09605	ZAK
ILMN_1764557	1.58e-01	2.74e-02	-2.284448	-3.878967	-0.7248	FIT1
ILMN_1775163	1.58e-01	2.74e-02	2.28437	-3.879123	0.9958375	PDE1A
ILMN_1673282	1.58e-01	2.74e-02	2.284279	-3.879305	0.8167042	LAMP2
ILMN_3307777	1.58e-01	2.74e-02	-2.284218	-3.879427	-1.144625	RETNLB
ILMN_1714349	1.58e-01	2.74e-02	-2.28413	-3.879603	-1.02785	GLCE
ILMN_1663858	1.58e-01	2.74e-02	2.284127	-3.87961	1.3543458	ZNF286A
ILMN_1685433	1.58e-01	2.74e-02	2.284066	-3.879731	1.3855333	COL8A1
ILMN_2378316	1.58e-01	2.75e-02	2.28386	-3.880146	1.1305292	NUPL1
ILMN_1706764	1.58e-01	2.75e-02	-2.283803	-3.880261	-0.9973042	GOLPH3L
ILMN_1762713	1.59e-01	2.75e-02	2.283014	-3.881842	0.6669708	C19orf59
ILMN_1771642	1.59e-01	2.75e-02	2.282499	-3.882874	0.6227792	USP20
ILMN_2281069	1.59e-01	2.76e-02	2.282335	-3.883203	0.9830958	GPATCH4
ILMN_3307832	1.59e-01	2.76e-02	-2.281856	-3.884165	-0.7879417	PCBD2
ILMN_1801516	1.59e-01	2.76e-02	2.281782	-3.884312	0.9162792	GPC1
ILMN_1697160	1.59e-01	2.76e-02	2.281746	-3.884385	0.7958208	TTC7A
ILMN_1747251	1.59e-01	2.76e-02	2.281715	-3.884447	0.9543042	LTB4R
ILMN_1711450	1.59e-01	2.76e-02	2.281695	-3.884487	0.64795	TH1L
ILMN_1739985	1.59e-01	2.76e-02	2.281627	-3.884623	0.9458875	TAGAP
ILMN_2255021	1.59e-01	2.76e-02	2.281473	-3.884933	0.7512	ARPC2
ILMN_1691636	1.59e-01	2.76e-02	2.281452	-3.884975	0.6286792	DAZL
ILMN_1726437	1.59e-01	2.76e-02	2.281266	-3.885348	0.7710417	EFCAB3
ILMN_2368145	1.59e-01	2.76e-02	2.281136	-3.885608	1.3325583	GRINL1A
ILMN_1679809	1.59e-01	2.77e-02	2.280744	-3.886393	0.8044708	GSTP1
ILMN_1687533	1.59e-01	2.77e-02	2.28064	-3.886601	0.7577667	SEMA4D
ILMN_2404033	1.59e-01	2.77e-02	2.280474	-3.886935	0.7878542	ZNF205
ILMN_3307602	1.59e-01	2.77e-02	-2.280155	-3.887574	-0.76905	EPHA10
ILMN_2331163	1.59e-01	2.77e-02	-2.279734	-3.888417	-0.8293083	CUL4A
ILMN_3307409	1.59e-01	2.77e-02	-2.279572	-3.888742	-0.8948917	RREB1
ILMN_1786353	1.60e-01	2.78e-02	-2.279038	-3.889812	-0.7091125	CNGA1
ILMN_2375002	1.60e-01	2.78e-02	2.279002	-3.889883	1.0155083	MAP4K4
ILMN_3248658	1.60e-01	2.78e-02	2.278468	-3.890953	1.0056292	SNORA16B
ILMN_1732071	1.60e-01	2.78e-02	2.278372	-3.891145	0.8340417	HIST2H2BE
ILMN_1793025	1.60e-01	2.78e-02	2.278147	-3.891596	0.5705292	OSAP
ILMN_1702447	1.60e-01	2.78e-02	-2.277998	-3.891894	-0.8352417	IGF2BP2
ILMN_2308950	1.60e-01	2.78e-02	2.277888	-3.892115	1.0522792	AKAP12
ILMN_1697554	1.60e-01	2.79e-02	2.277389	-3.893113	1.0023583	SASH3
ILMN_1793849	1.60e-01	2.79e-02	2.276979	-3.893933	0.6147375	TANK
ILMN_1725534	1.60e-01	2.79e-02	2.276921	-3.894049	0.549825	ACTN4
ILMN_3241282	1.60e-01	2.80e-02	2.276223	-3.895446	1.0562458	TDRD12
ILMN_1764607	1.60e-01	2.80e-02	-2.276169	-3.895555	-1.3435792	UGT1A7
ILMN_1739719	1.60e-01	2.80e-02	2.276079	-3.895735	0.5984292	ASPH
ILMN_1740917	1.61e-01	2.80e-02	-2.275258	-3.897377	-1.5962125	SCNN1B
ILMN_1751816	1.61e-01	2.80e-02	-2.275062	-3.897769	-0.7998917	MCTS1
ILMN_1792356	1.61e-01	2.80e-02	2.275057	-3.897778	0.9948625	DPYSL4
ILMN_1815666	1.61e-01	2.81e-02	2.274049	-3.899795	0.764125	ATP2A2
ILMN_3246534	1.61e-01	2.81e-02	2.274021	-3.899852	1.1052542	TSG1
ILMN_1778599	1.61e-01	2.81e-02	2.273738	-3.900418	1.1278792	SP140
ILMN_1664024	1.61e-01	2.81e-02	2.273569	-3.900754	2.0022042	APOB
ILMN_1656463	1.61e-01	2.81e-02	2.273516	-3.900861	0.7072875	C11orf73
ILMN_1753773	1.61e-01	2.82e-02	2.27301	-3.901872	0.5774625	ANAPC11
ILMN_2166524	1.61e-01	2.82e-02	-2.272905	-3.902082	-1.1767208	CCNYL1
ILMN_1704477	1.61e-01	2.82e-02	-2.272836	-3.902221	-0.6379458	COX5A
ILMN_1733947	1.61e-01	2.82e-02	2.272798	-3.902296	0.791775	FKBP8
ILMN_2150175	1.61e-01	2.82e-02	2.272585	-3.902722	0.5792333	GDF6
ILMN_1732271	1.61e-01	2.82e-02	2.272452	-3.902987	0.6175917	BTBD9
ILMN_3243238	1.61e-01	2.82e-02	2.272262	-3.903366	0.6525292	TPSB2
ILMN_1769755	1.61e-01	2.82e-02	2.272056	-3.903778	1.3470708	CAPN10
ILMN_1766176	1.61e-01	2.82e-02	-2.271947	-3.903997	-0.6266583	RAP1A
ILMN_1775327	1.61e-01	2.82e-02	2.271863	-3.904163	0.7091375	PKM2
ILMN_1755811	1.61e-01	2.83e-02	2.271628	-3.904635	0.5412958	FBXO4
ILMN_2413599	1.61e-01	2.83e-02	-2.271471	-3.904947	-0.8963583	CALML4
ILMN_1717248	1.61e-01	2.83e-02	2.271458	-3.904974	0.6518708	C9orf66
ILMN_2408415	1.61e-01	2.83e-02	2.27139	-3.90511	0.6858042	RPL9
ILMN_3299905	1.61e-01	2.83e-02	2.271086	-3.905716	0.92125	RNFT2
ILMN_1724250	1.62e-01	2.83e-02	2.270719	-3.906449	1.0794458	GRN
ILMN_1772370	1.62e-01	2.83e-02	2.27063	-3.906627	1.2735708	ARHGEF1
ILMN_1711318	1.62e-01	2.83e-02	2.270335	-3.907217	0.563825	PHF8
ILMN_3308891	1.62e-01	2.83e-02	2.270272	-3.907342	0.83715	MIR99A
ILMN_1701958	1.62e-01	2.83e-02	-2.270248	-3.90739	-0.6074417	DLG1
ILMN_2389970	1.62e-01	2.83e-02	2.270236	-3.907414	0.6857125	TSPAN32
ILMN_1694731	1.62e-01	2.84e-02	2.270056	-3.907774	0.6306875	CLCN7
ILMN_1727199	1.62e-01	2.84e-02	-2.270028	-3.90783	-0.6637667	KLC4
ILMN_1755051	1.62e-01	2.84e-02	2.269924	-3.908036	0.916275	EFHC1
ILMN_1667022	1.62e-01	2.84e-02	2.269618	-3.908648	0.9463542	PASK
ILMN_2386179	1.62e-01	2.84e-02	-2.269235	-3.909412	-0.9004708	ZMYND8
ILMN_1705522	1.62e-01	2.84e-02	-2.268722	-3.910436	-1.2241167	SPAG1
ILMN_1672403	1.62e-01	2.85e-02	2.268005	-3.911868	0.6082167	ADAMTS8
ILMN_1726913	1.62e-01	2.85e-02	2.267859	-3.912158	0.8356792	RBPJ
ILMN_3235647	1.62e-01	2.85e-02	2.267849	-3.912179	0.6591292	SIK1
ILMN_1713985	1.62e-01	2.85e-02	2.267768	-3.912341	1.1089417	MAF1
ILMN_1652865	1.62e-01	2.85e-02	2.267407	-3.913061	0.6411542	BAIAP2
ILMN_1777513	1.62e-01	2.85e-02	2.267391	-3.913093	0.5369917	KCTD11
ILMN_2313434	1.62e-01	2.85e-02	2.267321	-3.913231	0.6797542	TCP1
ILMN_1662506	1.62e-01	2.85e-02	2.267274	-3.913325	1.1031208	LOC392395
ILMN_1674243	1.62e-01	2.85e-02	-2.267239	-3.913396	-0.8800875	TFRC
ILMN_1768181	1.62e-01	2.86e-02	2.267005	-3.913862	0.6140042	TOR3A
ILMN_2383300	1.62e-01	2.86e-02	2.266905	-3.914062	0.658625	PTPRU
ILMN_1659189	1.62e-01	2.86e-02	2.266825	-3.914221	1.1374958	C9orf89
ILMN_2312719	1.62e-01	2.86e-02	2.266544	-3.914782	1.1388917	EXOSC9
ILMN_2391051	1.63e-01	2.86e-02	2.266131	-3.915606	0.6049583	FCGR1B
ILMN_1776080	1.63e-01	2.86e-02	2.26596	-3.915947	0.5833083	GTPBP6
ILMN_1658071	1.63e-01	2.86e-02	-2.265942	-3.915981	-1.1242958	ATP1B1
ILMN_2393046	1.63e-01	2.87e-02	-2.265544	-3.916777	-0.8852167	NHLRC3
ILMN_1805766	1.63e-01	2.87e-02	2.265426	-3.91701	0.6120625	POU6F1
ILMN_2339294	1.63e-01	2.87e-02	-2.265073	-3.917716	-0.91075	LILRB5
ILMN_1735199	1.63e-01	2.87e-02	-2.264956	-3.917948	-0.6301958	CIAPIN1
ILMN_2047430	1.63e-01	2.87e-02	-2.264748	-3.918363	-0.8547042	March 5
ILMN_1731991	1.63e-01	2.87e-02	2.264733	-3.918393	1.1176208	SCYL1
ILMN_1742382	1.63e-01	2.87e-02	-2.26472	-3.918419	-0.9987792	RIMS3
ILMN_1739558	1.63e-01	2.87e-02	-2.26453	-3.918796	-1.3775292	CRELD1
ILMN_3244803	1.63e-01	2.87e-02	2.264512	-3.918832	0.6007917	RAD54L2
ILMN_1742993	1.63e-01	2.87e-02	2.264193	-3.919468	0.9051	IPF1
ILMN_1786396	1.63e-01	2.87e-02	-2.264128	-3.919598	-0.8834167	ZZEF1
ILMN_1685714	1.63e-01	2.88e-02	2.263841	-3.920169	0.6560667	INHBB
ILMN_1722445	1.63e-01	2.88e-02	2.263811	-3.92023	0.6507875	MC4R
ILMN_1730363	1.63e-01	2.88e-02	2.26361	-3.92063	0.8381	STAU1
ILMN_2350240	1.63e-01	2.88e-02	2.263436	-3.920977	0.8441958	GTF2I
ILMN_2183510	1.63e-01	2.88e-02	2.263358	-3.921133	0.9019417	ARMET
ILMN_1748661	1.63e-01	2.88e-02	2.263353	-3.921142	0.7023125	AKT1
ILMN_1785356	1.63e-01	2.88e-02	2.263228	-3.921391	1.2861792	DENND5A
ILMN_1757441	1.63e-01	2.88e-02	2.263123	-3.9216	0.5717333	GDF6
ILMN_1712432	1.63e-01	2.89e-02	2.262621	-3.922601	0.8023667	PSMD2
ILMN_1807439	1.63e-01	2.89e-02	2.262395	-3.923051	1.3079875	ALDH1A3
ILMN_2168520	1.63e-01	2.89e-02	2.262241	-3.923358	0.6024792	C11orf70
ILMN_1718295	1.63e-01	2.89e-02	2.261552	-3.924729	1.2781333	STAC2
ILMN_1667298	1.63e-01	2.89e-02	2.261531	-3.92477	0.8986667	LOC201229
ILMN_3243112	1.64e-01	2.90e-02	2.260799	-3.926228	0.6313083	RNF182
ILMN_1669888	1.64e-01	2.90e-02	2.260649	-3.926527	1.1319208	CSTA
ILMN_1727023	1.64e-01	2.90e-02	-2.260532	-3.926759	-0.8332708	AMMECR1L
ILMN_1691501	1.64e-01	2.90e-02	-2.260154	-3.927513	-0.8301583	C15orf5
ILMN_1728785	1.64e-01	2.90e-02	2.259644	-3.928527	0.8852167	GPR116
ILMN_2324202	1.64e-01	2.91e-02	-2.259486	-3.928841	-0.7352333	GABRE
ILMN_1684205	1.64e-01	2.91e-02	2.258925	-3.929957	0.6074792	CIB1
ILMN_1754529	1.64e-01	2.91e-02	-2.258409	-3.930983	-1.2154417	SPG7
ILMN_2376205	1.64e-01	2.92e-02	2.258063	-3.931672	0.9797458	LTB
ILMN_3239240	1.64e-01	2.92e-02	2.25805	-3.931697	0.8860708	POLR2E
ILMN_1716578	1.65e-01	2.92e-02	2.257742	-3.932309	1.6208833	PTPN6
ILMN_1745356	1.65e-01	2.92e-02	2.257142	-3.933503	0.6139042	CXCL9
ILMN_1764500	1.65e-01	2.92e-02	-2.256785	-3.934212	-0.9474625	C3orf10
ILMN_1795404	1.65e-01	2.92e-02	-2.256698	-3.934386	-1.0187042	SPOP
ILMN_1777121	1.65e-01	2.93e-02	2.256573	-3.934633	0.9997333	LTBP3
ILMN_2194355	1.65e-01	2.93e-02	2.256149	-3.935476	0.6219583	SOHLH2
ILMN_1720833	1.65e-01	2.93e-02	2.256098	-3.935578	0.8510292	C2orf48
ILMN_1699836	1.65e-01	2.93e-02	2.256078	-3.935617	0.7033625	LSP1
ILMN_1695621	1.65e-01	2.94e-02	2.254954	-3.93785	0.7919	KRT3
ILMN_1761083	1.65e-01	2.94e-02	2.254825	-3.938108	0.8091417	HNRNPA3
ILMN_1681657	1.65e-01	2.94e-02	2.254657	-3.93844	1.1060083	MAP4K4
ILMN_1760189	1.65e-01	2.94e-02	2.254508	-3.938736	0.76125	NAIP
ILMN_1668535	1.65e-01	2.94e-02	-2.254474	-3.938803	-1.015475	JOSD1
ILMN_1716105	1.65e-01	2.94e-02	2.254466	-3.93882	0.7177833	NLRP12
ILMN_1730660	1.65e-01	2.94e-02	-2.254344	-3.939062	-0.9939292	GALIG
ILMN_2400352	1.65e-01	2.94e-02	2.254321	-3.939107	1.0106625	LRDD
ILMN_1782977	1.66e-01	2.95e-02	2.253723	-3.940295	0.6375542	UBA52
ILMN_2336393	1.66e-01	2.95e-02	2.253493	-3.940752	0.6474583	SMN2
ILMN_1676003	1.66e-01	2.95e-02	2.253364	-3.941008	1.380775	PNOC
ILMN_2371397	1.66e-01	2.95e-02	2.253184	-3.941365	0.6105083	SLC25A45
ILMN_1725297	1.66e-01	2.95e-02	2.253124	-3.941485	1.0356375	AMPH
ILMN_1689029	1.66e-01	2.95e-02	2.253114	-3.941504	1.046075	WDR7
ILMN_1722502	1.66e-01	2.95e-02	2.253015	-3.941701	0.7905292	CCT6A
ILMN_1776493	1.66e-01	2.95e-02	2.252953	-3.941824	0.6838958	MTUS1
ILMN_3242130	1.66e-01	2.95e-02	2.252847	-3.942033	0.7651958	LOC284276
ILMN_1676548	1.66e-01	2.95e-02	-2.252816	-3.942096	-0.8762125	BZW2
ILMN_2176931	1.66e-01	2.95e-02	-2.252389	-3.942943	-0.7621375	PELI3
ILMN_1708363	1.66e-01	2.95e-02	2.252362	-3.942998	0.9822292	LOXL1
ILMN_1786050	1.66e-01	2.96e-02	-2.252073	-3.94357	-0.805275	RBBP9
ILMN_3240595	1.66e-01	2.96e-02	2.251421	-3.944864	1.0707625	SNORD37
ILMN_1739283	1.66e-01	2.96e-02	-2.250928	-3.945842	-0.836975	UPF2
ILMN_2353754	1.66e-01	2.97e-02	2.250646	-3.946402	0.8856292	TPM3
ILMN_2105253	1.66e-01	2.97e-02	2.250336	-3.947016	0.6182667	PTGR2
ILMN_1761322	1.66e-01	2.97e-02	2.250109	-3.947466	1.0613	FHOD3
ILMN_1675461	1.66e-01	2.97e-02	2.250079	-3.947526	0.59685	NFATC2
ILMN_1767414	1.66e-01	2.97e-02	-2.250078	-3.947527	-1.2792542	CDK3
ILMN_2377746	1.66e-01	2.97e-02	2.249919	-3.947844	0.6027583	RUNX2
ILMN_2048011	1.66e-01	2.97e-02	2.249873	-3.947934	1.0189292	ST8SIA1
ILMN_3237256	1.66e-01	2.97e-02	-2.249783	-3.948112	-0.8123417	BEND4
ILMN_1784141	1.66e-01	2.97e-02	2.24973	-3.948218	0.6072417	JAKMIP1
ILMN_1672717	1.66e-01	2.97e-02	2.249417	-3.948839	0.6909083	C10orf57
ILMN_2394902	1.67e-01	2.98e-02	2.248852	-3.949959	0.6443708	ACCN4
ILMN_2169983	1.67e-01	2.98e-02	-2.248791	-3.95008	-1.017975	ATAD1
ILMN_1717173	1.67e-01	2.98e-02	-2.248718	-3.950225	-1.029125	ECT2
ILMN_1658333	1.67e-01	2.98e-02	2.248647	-3.950365	0.7345375	ECM1
ILMN_2294878	1.67e-01	2.98e-02	2.248514	-3.950629	0.594675	NSUN5
ILMN_2183692	1.67e-01	2.98e-02	2.248469	-3.950718	0.6165208	PHYHD1
ILMN_1803367	1.67e-01	2.98e-02	-2.248339	-3.950976	-0.7598208	EVI1
ILMN_1709817	1.67e-01	2.98e-02	2.248196	-3.95126	0.6983792	SLC35A5
ILMN_2119937	1.67e-01	2.99e-02	2.247554	-3.952531	0.7321	NDUFB3
ILMN_2406552	1.67e-01	2.99e-02	2.247477	-3.952683	0.7787375	LRDD
ILMN_1764230	1.67e-01	2.99e-02	2.247464	-3.95271	1.1254792	GNPTG
ILMN_1678754	1.67e-01	2.99e-02	2.24691	-3.953806	0.6082083	PFDN2
ILMN_1695711	1.67e-01	2.99e-02	-2.246879	-3.953868	-0.7156042	FAM105A
ILMN_2076429	1.67e-01	2.99e-02	2.246848	-3.95393	1.1252208	GALNT17
ILMN_1810864	1.67e-01	2.99e-02	2.246741	-3.954141	1.0490167	PMP22
ILMN_1684211	1.67e-01	3.00e-02	2.246352	-3.954913	1.1379875	SEC14L2
ILMN_1688639	1.67e-01	3.00e-02	2.246307	-3.955001	0.7949417	FBXL2
ILMN_1723260	1.67e-01	3.00e-02	2.24624	-3.955134	1.0130042	ETV5
ILMN_2264788	1.67e-01	3.00e-02	2.245979	-3.95565	0.7937125	PPP2R2B
ILMN_2340202	1.67e-01	3.00e-02	-2.245943	-3.955722	-1.0067375	CASZ1
ILMN_2343677	1.67e-01	3.00e-02	2.24588	-3.955847	0.5344167	SOX5
ILMN_1656144	1.67e-01	3.00e-02	2.245442	-3.956714	0.9534125	MAPKAPK2
ILMN_2401701	1.67e-01	3.00e-02	2.245361	-3.956875	0.6422667	PCGF6
ILMN_1806787	1.67e-01	3.00e-02	2.245263	-3.957068	1.1760917	CSDC2
ILMN_2105966	1.67e-01	3.00e-02	2.24515	-3.957292	0.9985958	SLC35A4
ILMN_2056795	1.67e-01	3.00e-02	2.245115	-3.957362	1.6280625	USP9Y
ILMN_2298366	1.67e-01	3.01e-02	2.24491	-3.957767	0.9071292	TLR10
ILMN_1785852	1.67e-01	3.01e-02	2.244887	-3.957813	0.9445125	OBFC2A
ILMN_1795564	1.67e-01	3.01e-02	2.244878	-3.957831	0.5835333	C11orf84
ILMN_1712913	1.67e-01	3.01e-02	2.244439	-3.958701	1.0672542	UNC5A
ILMN_1701914	1.67e-01	3.01e-02	2.244389	-3.958798	0.7859167	CD274
ILMN_1687235	1.67e-01	3.01e-02	2.244233	-3.959108	0.6250458	HPN
ILMN_1692199	1.68e-01	3.01e-02	-2.243612	-3.960336	-0.7548583	RNF103
ILMN_1753322	1.68e-01	3.02e-02	2.243321	-3.960911	0.9841083	FGF1
ILMN_1699854	1.68e-01	3.02e-02	2.243051	-3.961446	0.6066958	GRIN3B
ILMN_1741640	1.68e-01	3.02e-02	-2.24282	-3.961902	-0.5339583	ZNF675
ILMN_1670229	1.68e-01	3.02e-02	2.24278	-3.961981	1.071475	F8
ILMN_1734867	1.68e-01	3.03e-02	-2.24212	-3.963288	-0.872325	NR2C1
ILMN_1700652	1.68e-01	3.03e-02	-2.242048	-3.963429	-1.3625667	CHAD
ILMN_1666449	1.68e-01	3.03e-02	2.241986	-3.963553	0.6330958	FAM134C
ILMN_2362847	1.68e-01	3.03e-02	-2.241707	-3.964104	-1.1269375	PPARA
ILMN_2168933	1.68e-01	3.03e-02	2.241694	-3.96413	0.737475	TNIP2
ILMN_2317493	1.68e-01	3.03e-02	-2.241426	-3.964659	-0.480775	SEMA6D
ILMN_1693319	1.68e-01	3.03e-02	2.241118	-3.96527	0.9344333	EYA4
ILMN_1733564	1.68e-01	3.03e-02	2.241003	-3.965495	0.5426708	GPLD1
ILMN_2199574	1.68e-01	3.03e-02	-2.240732	-3.966032	-0.7815042	SCARNA15
ILMN_1813949	1.68e-01	3.04e-02	2.240671	-3.966152	0.7484792	CASQ1
ILMN_1689004	1.68e-01	3.04e-02	2.240152	-3.967179	1.0217125	TNFRSF12A
ILMN_1785061	1.69e-01	3.04e-02	-2.240006	-3.967466	-0.8962125	EPHB2
ILMN_1739872	1.69e-01	3.04e-02	2.239956	-3.967565	0.7687042	ADAMTS18
ILMN_2175317	1.69e-01	3.04e-02	2.239738	-3.967997	0.8045208	CYP4X1
ILMN_2144573	1.69e-01	3.04e-02	2.239671	-3.968129	0.8335833	CTBS
ILMN_1745820	1.69e-01	3.05e-02	-2.239252	-3.968957	-0.9688292	RASSF6
ILMN_1727184	1.69e-01	3.05e-02	-2.239178	-3.969102	-0.6179833	WDR36
ILMN_1703635	1.69e-01	3.05e-02	2.238642	-3.970162	0.6822458	EEF1D
ILMN_2094061	1.69e-01	3.05e-02	-2.238495	-3.970451	-0.9612333	IMPA2
ILMN_1810486	1.69e-01	3.05e-02	2.238113	-3.971206	0.9029375	RAB34
ILMN_2170625	1.69e-01	3.05e-02	2.238109	-3.971215	0.790525	LOC389286
ILMN_1673586	1.69e-01	3.05e-02	2.238066	-3.9713	1.0599167	SLC6A6
ILMN_2405156	1.69e-01	3.05e-02	-2.238056	-3.971319	-0.6409667	PPAP2C
ILMN_3235467	1.69e-01	3.06e-02	2.237774	-3.971875	0.6912125	DAD1L
ILMN_1786046	1.69e-01	3.06e-02	2.23775	-3.971923	1.1061833	CASP9
ILMN_1748530	1.69e-01	3.06e-02	2.237716	-3.97199	0.5691708	LRRC2
ILMN_1763763	1.69e-01	3.06e-02	-2.237518	-3.972382	-0.9939958	RIPK3
ILMN_1697529	1.69e-01	3.06e-02	2.237441	-3.972533	0.7999167	RNF10
ILMN_1693630	1.69e-01	3.06e-02	-2.23729	-3.972832	-1.1426125	C16orf7
ILMN_1652022	1.69e-01	3.06e-02	2.23727	-3.972871	0.6779625	DHX57
ILMN_3182275	1.69e-01	3.06e-02	2.236927	-3.973548	1.0783167	FAM160B1
ILMN_1653161	1.69e-01	3.06e-02	2.236828	-3.973743	1.2333583	SNCG
ILMN_1718668	1.69e-01	3.07e-02	-2.236149	-3.975084	-0.7234375	ZBTB26
ILMN_2079098	1.69e-01	3.07e-02	2.236147	-3.975088	0.6132125	C9orf80
ILMN_2135232	1.69e-01	3.07e-02	-2.236005	-3.975368	-0.6538042	SFRS3
ILMN_3246900	1.69e-01	3.07e-02	-2.235933	-3.975511	-1.2704542	LOC92249
ILMN_1699797	1.69e-01	3.07e-02	2.235921	-3.975534	0.8182625	HDLBP
ILMN_1743373	1.69e-01	3.07e-02	-2.235818	-3.975736	-0.9450792	DLL1
ILMN_1654060	1.69e-01	3.07e-02	-2.235806	-3.97576	-0.890825	MKNK2
ILMN_1739214	1.69e-01	3.07e-02	2.235754	-3.975863	0.90105	TMPRSS5
ILMN_1671895	1.69e-01	3.07e-02	-2.235549	-3.976268	-1.0912083	ZNF613
ILMN_2185264	1.69e-01	3.07e-02	2.235256	-3.976846	0.6619292	ZNF461
ILMN_1694539	1.69e-01	3.08e-02	2.234935	-3.977479	1.3762542	MAP3K6
ILMN_1788108	1.69e-01	3.08e-02	2.23491	-3.977529	0.7133333	TXNDC5
ILMN_1802096	1.69e-01	3.08e-02	2.234899	-3.977551	0.6445833	ABTB1
ILMN_1756312	1.69e-01	3.08e-02	2.234875	-3.977598	0.9428333	SEMA7A
ILMN_1738075	1.70e-01	3.08e-02	2.234545	-3.978248	0.6097583	CMIP
ILMN_2255142	1.70e-01	3.08e-02	2.233996	-3.97933	0.7747417	TRIM34
ILMN_1755758	1.70e-01	3.08e-02	-2.233848	-3.979622	-0.8181292	RIF1
ILMN_1726108	1.70e-01	3.08e-02	2.233799	-3.97972	0.6475667	LASS2
ILMN_2315569	1.70e-01	3.08e-02	-2.233647	-3.98002	-1.1204708	N6AMT1
ILMN_1790350	1.70e-01	3.09e-02	2.233489	-3.980331	0.658375	TPRG1
